case_id,attempt,type,difficulty,language,info_mode,status,stop_reason,iterations,wall_seconds,agent_seconds,llm_calls,prompt_tokens,completion_tokens,cost_usd,cost_source,overall_accuracy,strict_correct,false_convergence
vi-crowdfunding-L1-007,1,crowdfunding,1,vi,complete,done,ok,1,0.000990099972113967,0.0004765000194311142,0,0,0,,unknown,0.31666666666666665,False,True
en-swap-L1-004,1,swap,1,en,complete,done,ok,1,0.0007966000121086836,0.0004194999928586185,0,0,0,,unknown,0.5,False,True
vi-milestone-L1-007,1,milestone,1,vi,complete,done,ok,1,0.0008336000028066337,0.00047909998102113605,0,0,0,,unknown,0.3375,False,True
vi-escrow_3party-L3-007,1,escrow_3party,3,vi,missing,done,ok,1,0.0015168000245466828,0.0005776999751105905,0,0,0,,unknown,0.31666666666666665,False,True
en-escrow_3party-L3-003,1,escrow_3party,3,en,missing,done,ok,1,0.0017306999652646482,0.0005914999637752771,0,0,0,,unknown,0.31666666666666665,False,True
vi-cancellation_fee-L3-005,1,cancellation_fee,3,vi,ambiguous,done,ok,1,0.0011113000218756497,0.0006041000015102327,0,0,0,,unknown,0.25,False,True
vi-milestone-L3-008,1,milestone,3,vi,complete,done,ok,1,0.0010340000153519213,0.0005883999983780086,0,0,0,,unknown,0.3375,False,True
vi-loan-L2-003,1,loan,2,vi,ambiguous,done,ok,1,0.000881300016772002,0.0005089999758638442,0,0,0,,unknown,0.275,False,True
en-swap-L1-002,1,swap,1,en,complete,done,ok,1,0.0006673000170849264,0.00034580001374706626,0,0,0,,unknown,0.5,False,True
vi-infeasible-L2-001,1,infeasible,2,vi,infeasible,done,ok,1,0.0001086000120267272,0.00010699999984353781,0,0,0,,unknown,,False,True
vi-escrow_3party-L2-008,1,escrow_3party,2,vi,missing,done,ok,1,0.001698700012639165,0.0007362999604083598,0,0,0,,unknown,0.31666666666666665,False,True
vi-vesting-L3-009,1,vesting,3,vi,complete,done,ok,1,0.0006719999946653843,0.00038129999302327633,0,0,0,,unknown,0.3375,False,True
vi-vesting-L2-003,1,vesting,2,vi,complete,done,ok,1,0.0006147999665699899,0.0003168999683111906,0,0,0,,unknown,0.3375,False,True
en-escrow_3party-L1-005,1,escrow_3party,1,en,missing,done,ok,1,0.0014056999934837222,0.0005563999875448644,0,0,0,,unknown,0.31666666666666665,False,True
vi-rental_deposit-L1-007,1,rental_deposit,1,vi,missing,done,ok,1,0.0010373999830335379,0.0005576999974437058,0,0,0,,unknown,0.25,False,True
en-crowdfunding-L2-002,1,crowdfunding,2,en,complete,done,ok,1,0.000999300042167306,0.00046300003305077553,0,0,0,,unknown,0.31666666666666665,False,True
vi-third_party-L3-006,1,third_party,3,vi,missing,done,ok,1,0.0014813000452704728,0.0006523000192828476,0,0,0,,unknown,0.31666666666666665,False,True
en-crowdfunding-L3-008,1,crowdfunding,3,en,complete,done,ok,1,0.0010585000272840261,0.0004265000461600721,0,0,0,,unknown,0.31666666666666665,False,True
vi-loan-L1-004,1,loan,1,vi,complete,done,ok,1,0.0008256000000983477,0.0004829999525099993,0,0,0,,unknown,0.275,False,True
en-crowdfunding-L1-006,1,crowdfunding,1,en,complete,done,ok,1,0.001026500016450882,0.0004535000189207494,0,0,0,,unknown,0.31666666666666665,False,True
en-swap-L1-007,1,swap,1,en,missing,done,ok,1,0.0007819999591447413,0.00040580000495538116,0,0,0,,unknown,0.5,False,True
vi-third_party-L2-004,1,third_party,2,vi,ambiguous,done,ok,1,0.0013348999782465398,0.0005991999641992152,0,0,0,,unknown,0.31666666666666665,False,True
en-swap-L2-006,1,swap,2,en,ambiguous,done,ok,1,0.0008022000547498465,0.0004032000433653593,0,0,0,,unknown,0.5,False,True
vi-third_party-L3-010,1,third_party,3,vi,missing,done,ok,1,0.0012963000335730612,0.0005966000026091933,0,0,0,,unknown,0.31666666666666665,False,True
vi-escrow_3party-L3-004,1,escrow_3party,3,vi,complete,done,ok,1,0.0033369000302627683,0.0005956999957561493,0,0,0,,unknown,0.31666666666666665,False,True
vi-loan-L1-010,1,loan,1,vi,complete,done,ok,1,0.0007940999930724502,0.00045689998660236597,0,0,0,,unknown,0.275,False,True
en-milestone-L4-002,1,milestone,4,en,complete,done,ok,1,0.0008562000002712011,0.00046529999235644937,0,0,0,,unknown,0.3375,False,True
en-cancellation_fee-L2-003,1,cancellation_fee,2,en,complete,done,ok,1,0.0011323000071570277,0.0005954999942332506,0,0,0,,unknown,0.25,False,True
vi-third_party-L2-007,1,third_party,2,vi,missing,done,ok,1,0.001095100014936179,0.0004632000345736742,0,0,0,,unknown,0.31666666666666665,False,True
en-swap-L3-005,1,swap,3,en,ambiguous,done,ok,1,0.0008196000126190484,0.0004484999808482826,0,0,0,,unknown,0.5,False,True
vi-swap-L3-008,1,swap,3,vi,missing,done,ok,1,0.000959100027102977,0.0005183999892324209,0,0,0,,unknown,0.5,False,True
vi-third_party-L2-005,1,third_party,2,vi,complete,done,ok,1,0.0011931000044569373,0.0005374000174924731,0,0,0,,unknown,0.31666666666666665,False,True
en-loan-L4-007,1,loan,4,en,missing,done,ok,1,0.0007909000269137323,0.00047120003728196025,0,0,0,,unknown,0.275,False,True
en-escrow_3party-L1-002,1,escrow_3party,1,en,complete,done,ok,1,0.0014617000124417245,0.0005442000110633671,0,0,0,,unknown,0.31666666666666665,False,True
vi-swap-L1-009,1,swap,1,vi,complete,done,ok,1,0.0009830999770201743,0.0005360000068321824,0,0,0,,unknown,0.5,False,True
