case_id,attempt,type,difficulty,language,info_mode,status,stop_reason,iterations,wall_seconds,agent_seconds,llm_calls,prompt_tokens,completion_tokens,cost_usd,cost_source,overall_accuracy,strict_correct,false_convergence
vi-milestone-L1-007,1,milestone,1,vi,complete,done,ok,1,0.0005227999645285308,0.0005227999645285308,0,0,0,,unknown,0.3375,False,True
en-swap-L1-004,1,swap,1,en,complete,done,ok,1,0.00048369995784014463,0.00048369995784014463,0,0,0,,unknown,0.5,False,True
vi-crowdfunding-L1-007,1,crowdfunding,1,vi,complete,done,ok,1,0.0006139000179246068,0.0006139000179246068,0,0,0,,unknown,0.31666666666666665,False,True
en-escrow_3party-L3-003,1,escrow_3party,3,en,missing,done,ok,1,0.0006338999955914915,0.0006338999955914915,0,0,0,,unknown,0.31666666666666665,False,True
vi-cancellation_fee-L3-005,1,cancellation_fee,3,vi,ambiguous,done,ok,1,0.0006982999620959163,0.0006982999620959163,0,0,0,,unknown,0.25,False,True
vi-escrow_3party-L3-007,1,escrow_3party,3,vi,missing,done,ok,1,0.0006126000080257654,0.0006126000080257654,0,0,0,,unknown,0.31666666666666665,False,True
vi-loan-L2-003,1,loan,2,vi,ambiguous,done,ok,1,0.0005000000237487257,0.0005000000237487257,0,0,0,,unknown,0.275,False,True
en-swap-L1-002,1,swap,1,en,complete,done,ok,1,0.00043780001578852534,0.00043780001578852534,0,0,0,,unknown,0.5,False,True
vi-milestone-L3-008,1,milestone,3,vi,complete,done,ok,1,0.000588800001423806,0.000588800001423806,0,0,0,,unknown,0.3375,False,True
vi-escrow_3party-L2-008,1,escrow_3party,2,vi,missing,done,ok,1,0.0009507000213488936,0.0009507000213488936,0,0,0,,unknown,0.31666666666666665,False,True
vi-infeasible-L2-001,1,infeasible,2,vi,infeasible,done,ok,1,0.0001294999965466559,0.0001294999965466559,0,0,0,,unknown,,False,True
vi-vesting-L3-009,1,vesting,3,vi,complete,done,ok,1,0.0005071999621577561,0.0005071999621577561,0,0,0,,unknown,0.3375,False,True
vi-rental_deposit-L1-007,1,rental_deposit,1,vi,missing,done,ok,1,0.0006833000225014985,0.0006833000225014985,0,0,0,,unknown,0.25,False,True
vi-vesting-L2-003,1,vesting,2,vi,complete,done,ok,1,0.00043210003059357405,0.00043210003059357405,0,0,0,,unknown,0.3375,False,True
en-escrow_3party-L1-005,1,escrow_3party,1,en,missing,done,ok,1,0.0005033000488765538,0.0005033000488765538,0,0,0,,unknown,0.31666666666666665,False,True
en-crowdfunding-L2-002,1,crowdfunding,2,en,complete,done,ok,1,0.0005358000053092837,0.0005358000053092837,0,0,0,,unknown,0.31666666666666665,False,True
vi-third_party-L3-006,1,third_party,3,vi,missing,done,ok,1,0.0006006000330671668,0.0006006000330671668,0,0,0,,unknown,0.31666666666666665,False,True
en-crowdfunding-L3-008,1,crowdfunding,3,en,complete,done,ok,1,0.0004116999916732311,0.0004116999916732311,0,0,0,,unknown,0.31666666666666665,False,True
vi-loan-L1-004,1,loan,1,vi,complete,done,ok,1,0.0004860999761149287,0.0004860999761149287,0,0,0,,unknown,0.275,False,True
en-crowdfunding-L1-006,1,crowdfunding,1,en,complete,done,ok,1,0.0005046000005677342,0.0005046000005677342,0,0,0,,unknown,0.31666666666666665,False,True
en-swap-L1-007,1,swap,1,en,missing,done,ok,1,0.0005354000022634864,0.0005354000022634864,0,0,0,,unknown,0.5,False,True
vi-third_party-L2-004,1,third_party,2,vi,ambiguous,done,ok,1,0.0006258999928832054,0.0006258999928832054,0,0,0,,unknown,0.31666666666666665,False,True
en-swap-L2-006,1,swap,2,en,ambiguous,done,ok,1,0.0004932000301778316,0.0004932000301778316,0,0,0,,unknown,0.5,False,True
vi-third_party-L3-010,1,third_party,3,vi,missing,done,ok,1,0.0006334999925456941,0.0006334999925456941,0,0,0,,unknown,0.31666666666666665,False,True
vi-escrow_3party-L3-004,1,escrow_3party,3,vi,complete,done,ok,1,0.0009172999998554587,0.0009172999998554587,0,0,0,,unknown,0.31666666666666665,False,True
en-milestone-L4-002,1,milestone,4,en,complete,done,ok,1,0.000562199973501265,0.000562199973501265,0,0,0,,unknown,0.3375,False,True
vi-loan-L1-010,1,loan,1,vi,complete,done,ok,1,0.0005095999804325402,0.0005095999804325402,0,0,0,,unknown,0.275,False,True
en-cancellation_fee-L2-003,1,cancellation_fee,2,en,complete,done,ok,1,0.0005541000282391906,0.0005541000282391906,0,0,0,,unknown,0.25,False,True
en-swap-L3-005,1,swap,3,en,ambiguous,done,ok,1,0.00048400001833215356,0.00048400001833215356,0,0,0,,unknown,0.5,False,True
