case_id,attempt,type,difficulty,language,info_mode,status,stop_reason,iterations,wall_seconds,agent_seconds,llm_calls,prompt_tokens,completion_tokens,cost_usd,cost_source,overall_accuracy,strict_correct,false_convergence
en-swap-L1-004,1,swap,1,en,complete,done,ok,1,0.000791400030720979,0.00038350000977516174,0,0,0,,unknown,1.0,True,False
vi-crowdfunding-L1-007,1,crowdfunding,1,vi,complete,done,ok,1,0.0010378999868407845,0.0005484999855980277,0,0,0,,unknown,1.0,True,False
vi-milestone-L1-007,1,milestone,1,vi,complete,done,ok,1,0.0007467999821528792,0.00040520000038668513,0,0,0,,unknown,1.0,True,False
en-escrow_3party-L3-003,1,escrow_3party,3,en,missing,done,ok,1,0.0013699000119231641,0.00048610003432258964,0,0,0,,unknown,1.0,True,False
vi-escrow_3party-L3-007,1,escrow_3party,3,vi,missing,done,ok,1,0.0015792000340297818,0.0005228000227361917,0,0,0,,unknown,1.0,True,False
vi-cancellation_fee-L3-005,1,cancellation_fee,3,vi,ambiguous,done,ok,1,0.0010203999700024724,0.000520800007507205,0,0,0,,unknown,1.0,True,False
vi-loan-L2-003,1,loan,2,vi,ambiguous,done,ok,1,0.0007903000223450363,0.0004471999709494412,0,0,0,,unknown,1.0,True,False
en-swap-L1-002,1,swap,1,en,complete,done,ok,1,0.000831599987577647,0.0004192999913357198,0,0,0,,unknown,1.0,True,False
vi-milestone-L3-008,1,milestone,3,vi,complete,done,ok,1,0.0008464999846182764,0.00044599996181204915,0,0,0,,unknown,1.0,True,False
vi-vesting-L3-009,1,vesting,3,vi,complete,done,ok,1,0.0006470999796874821,0.0003595000016503036,0,0,0,,unknown,1.0,True,False
vi-infeasible-L2-001,1,infeasible,2,vi,infeasible,done,ok,1,0.00010819995077326894,0.00010679999832063913,0,0,0,,unknown,,False,True
vi-escrow_3party-L2-008,1,escrow_3party,2,vi,missing,done,ok,1,0.0014623000170104206,0.0005321000353433192,0,0,0,,unknown,1.0,True,False
